reading_id,meter_id,ts,kwh,read_type,source_system
RD-000061107,MTR-200043,14/10/2024 01:00,0.0943,A,legacy_hh_v1
RD-000062547,MTR-200044,14/10/2024 01:00,0.0626,A,legacy_hh_v1
RD-000063987,MTR-200045,14/10/2024 01:00,0.0781,A,legacy_hh_v1
RD-000065427,MTR-200046,14/10/2024 01:00,0.1095,A,legacy_hh_v1
RD-000066867,MTR-200047,14/10/2024 01:00,0.0795,A,legacy_hh_v1
RD-000068307,MTR-200048,14/10/2024 01:00,0.0513,A,legacy_hh_v1
RD-000069747,MTR-200049,14/10/2024 01:00,0.06,A,legacy_hh_v1
RD-000071187,MTR-200050,14/10/2024 01:00,0.0546,A,legacy_hh_v1
RD-000072627,MTR-200051,14/10/2024 01:00,0.0363,A,legacy_hh_v1
RD-000074067,MTR-200052,14/10/2024 01:00,0.08,A,legacy_hh_v1
RD-000075507,MTR-200053,14/10/2024 01:00,0.0981,A,legacy_hh_v1
RD-000076947,MTR-200054,14/10/2024 01:00,0.0447,A,legacy_hh_v1
RD-000078387,MTR-200055,14/10/2024 01:00,0.1075,A,legacy_hh_v1
RD-000079827,MTR-200056,14/10/2024 01:00,0.0687,A,legacy_hh_v1
RD-000081267,MTR-200057,14/10/2024 01:00,0.0877,A,legacy_hh_v1
RD-000082707,MTR-200058,14/10/2024 01:00,0.0946,A,legacy_hh_v1
RD-000084147,MTR-200059,14/10/2024 01:00,0.0379,E,legacy_hh_v1
RD-000000628,MTR-200001,14/10/2024 01:30,0.1038,A,legacy_hh_v1
RD-000002068,MTR-200002,14/10/2024 01:30,0.0887,A,legacy_hh_v1
RD-000003508,MTR-200003,14/10/2024 01:30,0.054,E,legacy_hh_v1
RD-000004948,MTR-200004,14/10/2024 01:30,0.0388,A,legacy_hh_v1
RD-000006388,MTR-200005,14/10/2024 01:30,0.0377,A,legacy_hh_v1
RD-000007828,MTR-200006,14/10/2024 01:30,0.1011,A,legacy_hh_v1
RD-000009268,MTR-200007,14/10/2024 01:30,0.0611,A,legacy_hh_v1
RD-000010708,MTR-200008,14/10/2024 01:30,0.0865,A,legacy_hh_v1
RD-000012148,MTR-200009,14/10/2024 01:30,0.0611,E,legacy_hh_v1
RD-000013588,MTR-200010,14/10/2024 01:30,,A,legacy_hh_v1
RD-000015028,MTR-200011,14/10/2024 01:30,0.0825,A,legacy_hh_v1
RD-000016468,MTR-200012,14/10/2024 01:30,0.0837,A,legacy_hh_v1
RD-000017908,MTR-200013,14/10/2024 01:30,0.0277,A,legacy_hh_v1
RD-000019348,MTR-200014,14/10/2024 01:30,0.0644,A,legacy_hh_v1
RD-000020788,MTR-200015,14/10/2024 01:30,0.0672,A,legacy_hh_v1
RD-000022228,MTR-200016,14/10/2024 01:30,0.1032,A,legacy_hh_v1
RD-000023668,MTR-200017,14/10/2024 01:30,0.043,A,legacy_hh_v1
RD-000025108,MTR-200018,14/10/2024 01:30,0.0771,A,legacy_hh_v1
RD-000026548,MTR-200019,14/10/2024 01:30,0.066,A,legacy_hh_v1
RD-000027988,MTR-200020,14/10/2024 01:30,0.1199,A,legacy_hh_v1
RD-000029428,MTR-200021,14/10/2024 01:30,0.0526,A,legacy_hh_v1
RD-000030868,MTR-200022,14/10/2024 01:30,0.0689,A,legacy_hh_v1
RD-000032308,MTR-200023,14/10/2024 01:30,0.0725,A,legacy_hh_v1
RD-000033748,MTR-200024,14/10/2024 01:30,0.0577,A,legacy_hh_v1
RD-000035188,MTR-200025,14/10/2024 01:30,0.0335,A,legacy_hh_v1
RD-000036628,MTR-200026,14/10/2024 01:30,0.0724,A,legacy_hh_v1
RD-000038068,MTR-200027,14/10/2024 01:30,0.0749,A,legacy_hh_v1
RD-000039508,MTR-200028,14/10/2024 01:30,0.0564,A,legacy_hh_v1
RD-000040948,MTR-200029,14/10/2024 01:30,0.0791,A,legacy_hh_v1
RD-000042388,MTR-200030,14/10/2024 01:30,0.0495,A,legacy_hh_v1
RD-000043828,MTR-200031,14/10/2024 01:30,0.0646,A,legacy_hh_v1
RD-000045268,MTR-200032,14/10/2024 01:30,0.084,A,legacy_hh_v1
RD-000046708,MTR-200033,14/10/2024 01:30,0.0793,A,legacy_hh_v1
RD-000048148,MTR-200034,14/10/2024 01:30,0.0919,A,legacy_hh_v1
RD-000049588,MTR-200035,14/10/2024 01:30,0.0477,A,legacy_hh_v1
RD-000051028,MTR-200036,14/10/2024 01:30,0.042,E,legacy_hh_v1
RD-000052468,MTR-200037,14/10/2024 01:30,0.1075,A,legacy_hh_v1
RD-000053908,MTR-200038,14/10/2024 01:30,0.0986,A,legacy_hh_v1
RD-000055348,MTR-200039,14/10/2024 01:30,0.0481,A,legacy_hh_v1
RD-000056788,MTR-200040,14/10/2024 01:30,0.1024,A,legacy_hh_v1
RD-000058228,MTR-200041,14/10/2024 01:30,0.0733,A,legacy_hh_v1
RD-000059668,MTR-200042,14/10/2024 01:30,0.0773,A,legacy_hh_v1
RD-000061108,MTR-200043,14/10/2024 01:30,0.0861,A,legacy_hh_v1
RD-000062548,MTR-200044,14/10/2024 01:30,0.0803,A,legacy_hh_v1
RD-000063988,MTR-200045,14/10/2024 01:30,0.0843,A,legacy_hh_v1
RD-000065428,MTR-200046,14/10/2024 01:30,0.0938,A,legacy_hh_v1
RD-000066868,MTR-200047,14/10/2024 01:30,0.0889,A,legacy_hh_v1
RD-000068308,MTR-200048,14/10/2024 01:30,0.0574,A,legacy_hh_v1
RD-000069748,MTR-200049,14/10/2024 01:30,0.0542,A,legacy_hh_v1
RD-000071188,MTR-200050,14/10/2024 01:30,0.0672,A,legacy_hh_v1
RD-000072628,MTR-200051,14/10/2024 01:30,0.0448,A,legacy_hh_v1
RD-000074068,MTR-200052,14/10/2024 01:30,0.0891,A,legacy_hh_v1
RD-000075508,MTR-200053,14/10/2024 01:30,0.0683,A,legacy_hh_v1
RD-000076948,MTR-200054,14/10/2024 01:30,0.0483,A,legacy_hh_v1
RD-000078388,MTR-200055,14/10/2024 01:30,0.0971,A,legacy_hh_v1
RD-000079828,MTR-200056,14/10/2024 01:30,0.0631,E,legacy_hh_v1
RD-000081268,MTR-200057,14/10/2024 01:30,0.0883,A,legacy_hh_v1
RD-000082708,MTR-200058,14/10/2024 01:30,0.0595,A,legacy_hh_v1
RD-000084148,MTR-200059,14/10/2024 01:30,0.0402,A,legacy_hh_v1
RD-000000629,MTR-200001,14/10/2024 02:00,0.076,A,legacy_hh_v1
RD-000002069,MTR-200002,14/10/2024 02:00,0.0922,A,legacy_hh_v1
RD-000003509,MTR-200003,14/10/2024 02:00,0.0532,A,legacy_hh_v1
RD-000004949,MTR-200004,14/10/2024 02:00,0.0361,A,legacy_hh_v1
RD-000006389,MTR-200005,14/10/2024 02:00,0.0419,A,legacy_hh_v1
RD-000007829,MTR-200006,14/10/2024 02:00,0.1147,A,legacy_hh_v1
RD-000009269,MTR-200007,14/10/2024 02:00,0.0518,A,legacy_hh_v1
RD-000010709,MTR-200008,14/10/2024 02:00,0.0977,A,legacy_hh_v1
RD-000012149,MTR-200009,14/10/2024 02:00,0.0835,A,legacy_hh_v1
RD-000013589,MTR-200010,14/10/2024 02:00,0.0908,A,legacy_hh_v1
RD-000015029,MTR-200011,14/10/2024 02:00,0.0881,A,legacy_hh_v1
RD-000016469,MTR-200012,14/10/2024 02:00,0.0886,A,legacy_hh_v1
RD-000017909,MTR-200013,14/10/2024 02:00,0.0303,E,legacy_hh_v1
RD-000019349,MTR-200014,14/10/2024 02:00,0.0747,E,legacy_hh_v1
RD-000020789,MTR-200015,14/10/2024 02:00,0.0647,A,legacy_hh_v1
RD-000022229,MTR-200016,14/10/2024 02:00,0.1057,A,legacy_hh_v1
RD-000023669,MTR-200017,14/10/2024 02:00,0.0473,A,legacy_hh_v1
RD-000025109,MTR-200018,14/10/2024 02:00,0.0849,A,legacy_hh_v1
RD-000026549,MTR-200019,14/10/2024 02:00,0.0518,A,legacy_hh_v1
RD-000027989,MTR-200020,14/10/2024 02:00,0.0912,A,legacy_hh_v1
RD-000029429,MTR-200021,14/10/2024 02:00,0.0606,A,legacy_hh_v1
RD-000030869,MTR-200022,14/10/2024 02:00,0.0461,A,legacy_hh_v1
RD-000032309,MTR-200023,14/10/2024 02:00,0.0591,E,legacy_hh_v1
RD-000033749,MTR-200024,14/10/2024 02:00,0.0597,A,legacy_hh_v1
RD-000035189,MTR-200025,14/10/2024 02:00,0.0389,A,legacy_hh_v1
RD-000036629,MTR-200026,14/10/2024 02:00,0.0701,A,legacy_hh_v1
RD-000038069,MTR-200027,14/10/2024 02:00,0.0549,A,legacy_hh_v1
RD-000039509,MTR-200028,14/10/2024 02:00,0.0535,A,legacy_hh_v1
RD-000040949,MTR-200029,14/10/2024 02:00,0.0874,A,legacy_hh_v1
RD-000042389,MTR-200030,14/10/2024 02:00,0.0491,A,legacy_hh_v1
RD-000043829,MTR-200031,14/10/2024 02:00,0.0494,A,legacy_hh_v1
RD-000045269,MTR-200032,14/10/2024 02:00,0.0946,A,legacy_hh_v1
RD-000046709,MTR-200033,14/10/2024 02:00,0.0738,E,legacy_hh_v1
RD-000048149,MTR-200034,14/10/2024 02:00,0.069,A,legacy_hh_v1
RD-000049589,MTR-200035,14/10/2024 02:00,0.0501,A,legacy_hh_v1
RD-000051029,MTR-200036,14/10/2024 02:00,0.0364,A,legacy_hh_v1
RD-000052469,MTR-200037,14/10/2024 02:00,0.109,A,legacy_hh_v1
RD-000053909,MTR-200038,14/10/2024 02:00,0.0837,A,legacy_hh_v1
RD-000055349,MTR-200039,14/10/2024 02:00,0.0591,A,legacy_hh_v1
RD-000056789,MTR-200040,14/10/2024 02:00,0.088,A,legacy_hh_v1
RD-000058229,MTR-200041,14/10/2024 02:00,0.0823,A,legacy_hh_v1
RD-000059669,MTR-200042,14/10/2024 02:00,0.0714,A,legacy_hh_v1
RD-000061109,MTR-200043,14/10/2024 02:00,0.0822,A,legacy_hh_v1
RD-000062549,MTR-200044,14/10/2024 02:00,0.0693,E,legacy_hh_v1
RD-000063989,MTR-200045,14/10/2024 02:00,0.0747,A,legacy_hh_v1
RD-000065429,MTR-200046,14/10/2024 02:00,0.1131,E,legacy_hh_v1
RD-000066869,MTR-200047,14/10/2024 02:00,0.0705,A,legacy_hh_v1
RD-000068309,MTR-200048,14/10/2024 02:00,0.0471,A,legacy_hh_v1
RD-000069749,MTR-200049,14/10/2024 02:00,0.0592,A,legacy_hh_v1
RD-000071189,MTR-200050,14/10/2024 02:00,0.0763,A,legacy_hh_v1
RD-000072629,MTR-200051,14/10/2024 02:00,0.0372,A,legacy_hh_v1
RD-000074069,MTR-200052,14/10/2024 02:00,0.0762,A,legacy_hh_v1
RD-000075509,MTR-200053,14/10/2024 02:00,0.0865,A,legacy_hh_v1
RD-000076949,MTR-200054,14/10/2024 02:00,0.0415,A,legacy_hh_v1
RD-000078389,MTR-200055,14/10/2024 02:00,0.0986,A,legacy_hh_v1
RD-000079829,MTR-200056,14/10/2024 02:00,0.0464,A,legacy_hh_v1
RD-000081269,MTR-200057,14/10/2024 02:00,0.0802,A,legacy_hh_v1
RD-000082709,MTR-200058,14/10/2024 02:00,0.0629,A,legacy_hh_v1
RD-000084149,MTR-200059,14/10/2024 02:00,0.0349,A,legacy_hh_v1
RD-000000630,MTR-200001,14/10/2024 02:30,0.0601,A,legacy_hh_v1
RD-000002070,MTR-200002,14/10/2024 02:30,0.0824,A,legacy_hh_v1
RD-000003510,MTR-200003,14/10/2024 02:30,0.0425,A,legacy_hh_v1
RD-000004950,MTR-200004,14/10/2024 02:30,0.0388,A,legacy_hh_v1
RD-000006390,MTR-200005,14/10/2024 02:30,0.0458,A,legacy_hh_v1
RD-000007830,MTR-200006,14/10/2024 02:30,0.0929,A,legacy_hh_v1
RD-000009270,MTR-200007,14/10/2024 02:30,0.0581,A,legacy_hh_v1
RD-000010710,MTR-200008,14/10/2024 02:30,0.0885,A,legacy_hh_v1
RD-000012150,MTR-200009,14/10/2024 02:30,0.0757,A,legacy_hh_v1
RD-000013590,MTR-200010,14/10/2024 02:30,,A,legacy_hh_v1
RD-000015030,MTR-200011,14/10/2024 02:30,0.0921,A,legacy_hh_v1
RD-000016470,MTR-200012,14/10/2024 02:30,0.0817,A,legacy_hh_v1
RD-000017910,MTR-200013,14/10/2024 02:30,0.0435,A,legacy_hh_v1
RD-000019350,MTR-200014,14/10/2024 02:30,0.0754,A,legacy_hh_v1
RD-000020790,MTR-200015,14/10/2024 02:30,0.0577,A,legacy_hh_v1
RD-000022230,MTR-200016,14/10/2024 02:30,0.0878,A,legacy_hh_v1
RD-000023670,MTR-200017,14/10/2024 02:30,0.0491,A,legacy_hh_v1
RD-000025110,MTR-200018,14/10/2024 02:30,0.1047,A,legacy_hh_v1
RD-000026550,MTR-200019,14/10/2024 02:30,0.0576,A,legacy_hh_v1
RD-000029430,MTR-200021,14/10/2024 02:30,0.0421,A,legacy_hh_v1
RD-000030870,MTR-200022,14/10/2024 02:30,0.0586,A,legacy_hh_v1
RD-000032310,MTR-200023,14/10/2024 02:30,0.0509,A,legacy_hh_v1
RD-000033750,MTR-200024,14/10/2024 02:30,0.0519,A,legacy_hh_v1
RD-000035190,MTR-200025,14/10/2024 02:30,0.0373,A,legacy_hh_v1
RD-000036630,MTR-200026,14/10/2024 02:30,0.0732,A,legacy_hh_v1
RD-000038070,MTR-200027,14/10/2024 02:30,0.064,A,legacy_hh_v1
RD-000039510,MTR-200028,14/10/2024 02:30,0.0473,A,legacy_hh_v1
RD-000040950,MTR-200029,14/10/2024 02:30,0.068,A,legacy_hh_v1
RD-000043830,MTR-200031,14/10/2024 02:30,0.0427,A,legacy_hh_v1
RD-000045270,MTR-200032,14/10/2024 02:30,0.09,A,legacy_hh_v1
RD-000046710,MTR-200033,14/10/2024 02:30,0.0759,A,legacy_hh_v1
RD-000048150,MTR-200034,14/10/2024 02:30,0.0669,A,legacy_hh_v1
RD-000049590,MTR-200035,14/10/2024 02:30,0.0458,A,legacy_hh_v1
RD-000051030,MTR-200036,14/10/2024 02:30,0.0335,A,legacy_hh_v1
RD-000052470,MTR-200037,14/10/2024 02:30,0.098,A,legacy_hh_v1
RD-000053910,MTR-200038,14/10/2024 02:30,0.0926,E,legacy_hh_v1
RD-000055350,MTR-200039,14/10/2024 02:30,0.0553,A,legacy_hh_v1
RD-000056790,MTR-200040,14/10/2024 02:30,0.115,A,legacy_hh_v1
RD-000058230,MTR-200041,14/10/2024 02:30,0.1012,A,legacy_hh_v1
RD-000059670,MTR-200042,14/10/2024 02:30,0.0803,A,legacy_hh_v1
RD-000061110,MTR-200043,14/10/2024 02:30,0.0843,A,legacy_hh_v1
RD-000062550,MTR-200044,14/10/2024 02:30,0.0578,A,legacy_hh_v1
RD-000063990,MTR-200045,14/10/2024 02:30,0.093,A,legacy_hh_v1
RD-000065430,MTR-200046,14/10/2024 02:30,0.0929,A,legacy_hh_v1
